pre_skeleton_id,post_skeleton_id,weight
3299214,5560620,1
3299214,5783868,6
3299214,6611894,2
3299214,6699205,2
3299214,6703240,68
3299214,7057894,4
3299214,7584797,1
3299214,7586720,1
3299214,7586727,2
3299214,7586750,2
3299214,7600426,1
3299214,7600557,1
3299214,7600564,1
3299214,7600769,1
3299214,7625684,5
3299214,7625698,1
3299214,7802210,8
3299214,7868195,2
3299214,7897469,10
3299214,7898285,1
3299214,7898380,1
3299214,7911988,1
3299214,7912035,1
3299214,7980189,1
3299214,8068173,2
3299214,8184598,20
3299214,8271875,1
3299214,8297018,10
3299214,8318813,2
3299214,8712361,1
3299214,8752697,1
3299214,8922644,4
3299214,9245789,1
3299214,9245798,2
3299214,9508862,1
3299214,9508886,2
3299214,9753530,13
3299214,9796812,2
3299214,10119916,1
3299214,10202724,3
3299214,11465297,1
3299214,11525714,2
3299214,11639531,1
3299214,11725803,2
3299214,11747060,1
3299214,11853038,1
3299214,12704069,6
3299214,14127447,1
3299214,14206030,3
3299214,14214039,2
3299214,14319960,2
3299214,14522124,2
3299214,15421363,4
3299214,15571194,2
3299214,15633329,1
3299214,15861524,6
3299214,16017113,2
3299214,16178283,2
3299214,16213069,1
3299214,16240569,4
3299214,16318521,3
3299214,16397747,1
3299214,16440704,2
3299214,16593301,1
3299214,16594509,11
3299214,16627773,2
3299214,16629788,2
3299214,16631222,2
3299214,16681168,1
3299214,16681217,1
3299214,16691937,6
3299214,16797672,10
3299214,16797850,2
3299214,16883909,2
3299214,16977881,2
3299214,17147410,2
3299214,17176927,4
3299214,17295826,1
3299214,17296734,1
3299214,17297101,2
3299214,17358829,1
3299214,17795560,2
3299214,18028397,6
3299214,18035864,1
3299214,18521179,1
3299214,18641626,1
3299214,19091931,1
3347708,2506050,8
3347708,3234817,28
3347708,3299214,16
3347708,3347834,2
3347708,3371683,1
3347708,3497901,4
3347708,3522293,2
3347708,3587612,2
3347708,3664102,16
3347708,3886356,6
3347708,3890028,10
3347708,4022539,14
3347708,4195012,16
3347708,4227304,8
3347708,4227544,4
3347708,4229950,4
3347708,4230061,14
3347708,4230739,16
3347708,4230749,10
3347708,4234009,18
3347708,4235139,2
3347708,4241192,18
3347708,4241237,20
3347708,4381129,8
3347708,4381377,6
3347708,4408369,1
3347708,4414163,8
3347708,4414184,2
3347708,4414426,2
3347708,4415241,4
3347708,4444354,14
3347708,4514494,2
3347708,4598109,4
3347708,4598363,16
3347708,4884579,2
3347708,5019924,8
3347708,5051342,12
3347708,5835799,14
3347708,5836035,2
3347708,5836163,10
3347708,5836181,2
3347708,5836197,14
3347708,5836206,8
3347708,5836387,2
3347708,5966099,2
3347708,6610913,1
3347708,6611100,1
3347708,6611894,6
3347708,6699205,20
3347708,7057894,6
3347708,7196392,4
3347708,7612147,1
3347708,7616956,10
3347708,7690945,2
3347708,7786053,10
3347708,7802210,20
3347708,7828725,8
3347708,7829784,2
3347708,7838405,2
3347708,7840203,2
3347708,7840791,22
3347708,7868195,2
3347708,7891312,2
3347708,7897469,6
3347708,7901791,4
3347708,8066542,4
3347708,8068173,6
3347708,8094859,28
3347708,8254894,4
3347708,8274902,4
3347708,8297018,8
3347708,8338584,16
3347708,8427677,2
3347708,8798010,4
3347708,8850802,10
3347708,8891315,4
3347708,8980589,52
3347708,9074101,10
3347708,9294475,1
3347708,9469519,18
3347708,9531722,6
3347708,9556700,12
3347708,9609048,4
3347708,9766793,2
3347708,9796812,10
3347708,9809626,2
3347708,9813188,2
